,Type,Process,PPE_DailyQ_Rank,Parameter,Default_glob,Lower_glob,Upper_glob,Lower_raw,Upper_raw,LowUp_vsPPE,Source,Binding,Method,Default,Lower,Upper
0,Hydrology,Infiltration,0,FMAX,0.381669399,0.1908347,0.572504099,0.1,0.9,NotInPPE,Surfdata,,Multiplicative,0.343443554,0.1,0.9
1,Hydrology,"Infiltration
Soil storage",1,fff,0.5,0.02,5,0.02,5,Same,Param,,Multiplicative,0.5,0.001,20
2,Hydrology,Soil water drainage ,10,hksat_sf,1,0.1,10,0.1,10,Same,Param,,Multiplicative,1,0.1,10
3,Hydrology,Soil storage capacity ,11,sucsat_sf,1,0.1,10,0.1,10,Same,Param,,Multiplicative,1,0.1,10
4,Stomatal resistance and photosynthesis,ET (transpiration),2,medlynslope,4.840379695,2.420189848,7.260569543,3.235949,6.934051,BiggerRange,Param,,Multiplicative,4.840379695,0.1,20
5,Hydrology,Infiltration,23,e_ice,6,0.1,8,0.1,8,Low0to0.1,Param,,Multiplicative,6,0.01,20
6,Hydrology,Soil storage capacity ,9,watsat_sf,1,0.25,2,0.8,1.2,BiggerRange,Param,,Multiplicative,1,0.1,10
7,Snow Processes,Snowpack physics,35,upplim_destruct_metamorph,175,10,500,10,500,BiggerRange_FromYifan,Namelist,,Multiplicative,175,1,600
8,Hydrology,Canopy Interception,45,interception_fraction,1,0.1,1,0.1,1,Low0.5to0.1,Namelist,,Multiplicative,1,0.1,1
9,Hydrology,Canopy Water,13,maximum_leaf_wetted_fraction,0.05,0.01,0.5,0.01,0.5,Same,Namelist,,Multiplicative,0.05,0.01,1
10,Snow Processes,Snowpack physics,17,zsno,0.000775,1.00E-05,0.07,1.00E-05,0.07,Same,Param,,Multiplicative,0.000775,0.00001,0.07
11,Stomatal resistance and photosynthesis,Plant hydraulics,15,kmax,1.91E-08,2.27E-09,3.79E-08,2.27E-09,3.79E-08,Same,Param,,Multiplicative,1.91E-08,1.00E-09,2.00E-07
12,Hydrology,Surface Water Storage,30,slopebeta,-3,-10,-0.5,-5,-1,BiggerRange_FromYifan,Param,,Multiplicative,-3,-50,-0.1
13,Stomatal resistance and photosynthesis,Photosynthesis,16,jmaxb0,0.0311,0.01,0.05,0.01,0.05,Same,Param,,Multiplicative,0.0311,0.001,0.3
14,Hydrology,Baseflow generation,37,n_baseflow,1,0.2,5,1,2,BiggerRange,Param,,Multiplicative,1,0.1,20
15,Biogeochemistry,Plant growth,14,leafcn,22.24729395,11.12364698,33.37094093,15.573,28.921,BiggerRange,Param,,Multiplicative,22.24729395,1,60
16,Sensible and Latent Heat Fluxes,ET (transpiration),22,cv,0.01,0.0025,0.04,0.005,0.02,BiggerRange_FromYifan,Param,,Multiplicative,0.01,0.001,0.1
