latoutlet,lonoutlet,areaUSGS,latdiff,londiff,latind,lonind,areaup
47.23739,-68.58264,2252.7,0.04988999999999777,0.020139999999997826,5.0,4.0,827.95
44.60797,-67.93524,573.6,0.045470000000001676,0.002260000000006812,0.0,3.0,626.7
45.50097,-68.30596,3676.17,0.06152999999999764,0.0065400000000011005,2.0,3.0,4884.6
45.17501,-69.3147,769.05,0.012489999999999668,0.002200000000001978,2.0,4.0,825.95
44.8692,-69.9551,909.1,0.056699999999999307,0.017600000000001614,1.0,4.0,9957.83
44.87739,-71.05749,383.82,0.06011000000000166,0.005009999999998627,1.0,3.0,994.62
44.39044,-70.97964,180.98,0.04706000000000188,0.0421400000000034,2.0,3.0,4171.81
44.64275,-70.58878,250.64,0.04475000000000051,0.02627999999999986,1.0,2.0,252.41
44.30399,-70.53968,190.92,0.008510000000001128,0.022819999999995844,1.0,2.0,229.08
43.1487,-70.96506,31.3,0.038800000000001944,0.027559999999994034,1.0,2.0,453.06
43.56646,-71.74786,222.46,0.003959999999999297,0.060360000000002856,1.0,3.0,2552.97
41.47482,-71.83424,10.36,0.03732000000000113,0.021739999999994097,0.0,1.0,782.57
41.84371,-72.16897,70.25,0.031210000000001514,0.01852999999999838,1.0,1.0,411.1
41.67177,-72.0523,77.85,0.0157299999999978,0.010199999999997544,1.0,1.0,364.45
44.51172,-71.83731,195.13,0.050780000000003156,0.02481000000000222,1.0,1.0,199.99
44.26867,-71.63036,228.55,0.043829999999999814,0.057140000000003965,2.0,0.0,326.45
44.15034,-72.06509,246.33,0.03716000000000008,0.0025899999999978718,1.0,3.0,7064.43
44.09284,-72.33565,22.8,0.030340000000002476,0.023150000000001114,1.0,1.0,112.82
43.93451,-72.65788,82.17,0.0029899999999969396,0.029619999999994207,1.0,1.0,310.16
42.68259,-72.11508,49.71,0.0049100000000024124,0.052580000000006066,1.0,1.0,498.2
42.63842,-72.72509,230.64,0.04907999999999646,0.03758999999999446,1.0,2.0,242.81
42.70342,-72.67065,106.99,0.015920000000001266,0.01685000000000514,0.0,2.0,242.81
42.23731,-72.89565,243.5,0.0498100000000008,0.04184999999999661,0.0,2.0,257.19
