hru_id,lat_cen,lon_cen,AREA,elev_mean,aridity_Im,seasonalityOfAridity_Imr,annualSnowFraction_fs,clusters
1013500,47.01169,-68.56551,2303988086.78,277.493489583,0.75557697,0.4579893,0.35413405,2
1022500,44.79691,-68.07313,620387273.442,103.604200323,0.74598736,0.49819148,0.32758465,2
1030500,45.80527,-68.14985,3676154745.1,174.433895539,0.7497568,0.50892377,0.3154317,2
1031500,45.23568,-69.58119,766544703.216,304.743489583,0.7900663,0.43830726,0.37998676,2
1047000,44.98744,-70.16213,904956194.351,379.779977998,0.81057936,0.4102844,0.3813142,2
1052500,44.96168,-71.17197,396110305.204,646.073604061,0.80580294,0.36537477,0.35717902,2
1054200,44.31072,-71.05872,181328678.257,629.165745856,0.8221508,0.31401363,0.3576973,2
1055000,44.75157,-70.62632,251161408.945,565.888446215,0.8327322,0.3495393,0.37955412,2
1057000,44.3434,-70.60039,197698791.003,290.91959799,0.7768826,0.40033755,0.29705843,2
1073000,43.15747,-71.00569,32114577.3576,61.7741935484,0.67261463,0.44993284,0.21169075,2
1078000,43.56186,-71.89296,221863559.749,360.459090909,0.72276497,0.38124812,0.2785884,2
1118300,41.48743,-71.83983,13706662.8777,93.75,0.64161956,0.47068548,0.09654954,3
1121000,41.87382,-72.17296,94700903.7457,183.043956044,0.6542142,0.45019147,0.1409261,2
1123000,41.75061,-72.05134,84211107.4076,150.392857143,0.6542142,0.45019147,0.1409261,2
1134500,44.57153,-71.80225,209507313.944,535.540669856,0.80879456,0.34382203,0.36541998,2
1137500,44.25389,-71.47415,238325090.348,717.693617021,0.8327509,0.28372276,0.37786946,2
1139000,44.21836,-72.21213,259505080.28,416.471042471,0.7375767,0.3895859,0.27331117,2
1139800,44.09478,-72.36594,24916417.9805,545.125,0.7375767,0.3895859,0.27331117,2
1142500,44.00276,-72.66255,79908204.8406,405.9125,0.7402546,0.37692252,0.26983738,2
1162500,42.75409,-72.14154,77930555.0717,338.220779221,0.64856666,0.4241826,0.21014471,2
1169000,42.73597,-72.77633,233886855.274,437.119148936,0.69381046,0.40603107,0.2120582,2
1170100,42.79432,-72.70524,109261419.008,421.471698113,0.69381046,0.40603107,0.2120582,2
1181000,42.30441,-73.03143,245720934.039,435.056680162,0.67732984,0.43896693,0.21306507,2
1187300,42.07967,-72.9751,54220783.0444,386.309090909,0.66078395,0.43955424,0.2132035,2
1195100,41.32971,-72.54759,15956114.1373,60.4,0.6157092,0.46740264,0.08342492,3
1333000,42.63857,-73.23597,111501903.578,468.28440367,0.6861841,0.43337584,0.21339405,2
1350000,42.25692,-74.26812,614259794.848,653.024429967,0.7221381,0.3840384,0.2891201,2
1350080,42.39659,-74.3438,89575210.3479,579.096774194,0.7221381,0.3840384,0.2891201,2
1350140,42.44596,-74.53833,47570517.6669,570.4375,0.7214879,0.40010393,0.28553504,2
1365000,41.9147,-74.42639,102568103.076,621.51,0.63406265,0.460382,0.20726445,2
1411300,39.34938,-74.86063,79370071.1579,16.0975609756,0.5383005,0.51227987,0.0,3
1413500,42.20133,-74.55636,434003694.628,667.596330275,0.72150207,0.39975375,0.28561318,2
1414500,42.08086,-74.65448,67077180.6708,714.220588235,0.7213878,0.40257582,0.28498343,2
1415000,42.18552,-74.80096,86684278.5065,609.228915663,0.7213878,0.40257582,0.28498343,2
1423000,42.28871,-74.87784,861798417.65,593.92733564,0.7091125,0.40961653,0.2600952,2
1434025,42.01478,-74.48483,9896312.06211,893.444444444,0.71671724,0.38953304,0.283458,2
1439500,41.20994,-75.0974,306094634.44,385.624595469,0.6753506,0.42457286,0.19737498,2
1440000,41.21119,-74.79817,171566830.736,263.303571429,0.6594937,0.48257363,0.20591265,2
1440400,41.18775,-75.24309,178980860.924,423.122222222,0.6753506,0.42457286,0.19737498,2
1451800,40.6604,-75.68416,149111212.918,205.36,0.6381905,0.41232228,0.2000239,2
1466500,39.87334,-74.49062,6248756.45573,45.0,0.57234406,0.49605456,0.0,3
1484100,38.89235,-75.52798,9657244.74348,16.0,0.51870143,0.46303037,0.0,3
1485500,38.29482,-75.46888,112983158.055,12.8672566372,0.54273725,0.44049948,0.0,3
1486000,38.21674,-75.65106,15994160.2368,6.6,0.5094754,0.4483249,0.0,3
1487000,38.8002,-75.56216,187186106.184,14.1578947368,0.519844,0.4631701,0.0,3
1491000,39.07677,-75.70663,291805648.819,15.0824742268,0.5173257,0.42312214,0.0,3
1510000,42.68791,-75.80821,382931630.004,484.344736842,0.706911,0.469342,0.30385965,2
1516500,41.76926,-76.96981,31559512.891,530.4375,0.6311515,0.39339188,0.1728222,2
