Parameter,Default,Lower,Upper
vcmaxha,72000,20000,250000
om_frac_sf,1,0.25,2
slopebeta,-3,-10,-0.5
fff,0.5,0.01,10
e_ice,6,1,8
liq_canopy_storage_scalar,0.1,0.025,4
krmax,1.223E-09,5.827E-11,6.896E-09
d_max,15,5,100
frac_sat_soil_dsl_init,0.8,0.25,2
cv,0.01,0.0025,0.04
a_coef,0.13,0.05,0.15
upplim_destruct_metamorph,175,10,500
n_melt_coef,200,25,600
medlynintercept,100,1,20000
