Parameter,Lower,Upper,Source,Type,Binding
vcmaxha,20000,250000,Param,Hydrology,None
fff,0.01,10,Param,Hydrology,None
liq_canopy_storage_scalar,0.025,4,Param,Hydrology,None
baseflow_scalar,0.0005,0.1,Namelist,Hydrology,None
hksat_sf,0.9,9,Param,Hydrology,None
krmax,"0,2.30E-11,2.60E-11,2.80E-11,1.10E-10,5.40E-11,8.00E-11,6.90E-11,9.30E-11,4.50E-11,7.40E-11,2.20E-11,1.00E-11,4.70E-11,8.20E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11,6.00E-11","0,2.50E-10,2.90E-10,1.60E-10,1.90E-08,5.10E-10,1.00E-08,1.60E-10,2.10E-10,1.70E-09,1.10E-07,1.50E-10,1.90E-10,5.90E-08,1.00E-07,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09,3.80E-09",Param,Plant hydraulics,None
d_max,5,100,Param,Stomatal resistance and photosynthesis,None
frac_sat_soil_dsl_init,0.25,2,Param,Stomatal resistance and photosynthesis,None
cv,0.0025,0.04,Param,Stomatal resistance and photosynthesis,None
medlynintercept,"1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.","300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000., 300000.",Param,Stomatal resistance and photosynthesis,None
upplim_destruct_metamorph,10,500,Namelist,Snow Processes,None
n_melt_coef,25,600,Param,Snow Processes,None
