fff,e_ice,d_max,FMAX,om_frac_sf,interception_fraction,watsat_sf,sucsat_sf,bsw_sf,zbedrock,hksat_sf,baseflow_scalar,n_baseflow,slopebeta,liq_canopy_storage_scalar,maximum_leaf_wetted_fraction,n_melt_coef,accum_factor,upplim_destruct_metamorph,zsno,precip_repartition_nonglc_all_rain_t,medlynslope,jmaxb0,kmax,cv,taulnir,leafcn
0.5,6.0,15.0,0.4186408331382426,1.0,1.0,1.0,1.0,1.0,5.689263552494485,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.4130126665497031,1.0,1.0,1.0,1.0,1.0,14.051191763993003,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3557070217720179,1.0,1.0,1.0,1.0,1.0,16.499821960087765,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3747826776771839,1.0,1.0,1.0,1.0,1.0,6.425835623010392,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.36177924095487396,1.0,1.0,1.0,1.0,1.0,3.4794549192760638,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3686080265468006,1.0,1.0,1.0,1.0,1.0,1.1904849524107572,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3309888134840761,1.0,1.0,1.0,1.0,1.0,0.7972301087806886,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.34980831568852105,1.0,1.0,1.0,1.0,1.0,1.937350896087516,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3561468842602679,1.0,1.0,1.0,1.0,1.0,3.194917068662521,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3735658284228768,1.0,1.0,1.0,1.0,1.0,18.478782347339003,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.35487946927855146,1.0,1.0,1.0,1.0,1.0,3.3578268032422534,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3079904097881012,1.0,1.0,1.0,1.0,1.0,9.983559236443284,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.35953017627536626,1.0,1.0,1.0,1.0,1.0,7.694677677251291,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3954746205376627,1.0,1.0,1.0,1.0,1.0,8.42513789179643,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3494307900810873,1.0,1.0,1.0,1.0,1.0,2.8789165598172994,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3461777349017368,1.0,1.0,1.0,1.0,1.0,1.2060243568208564,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.41959547532532954,1.0,1.0,1.0,1.0,1.0,3.300344583023992,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.4373555302293598,1.0,1.0,1.0,1.0,1.0,2.7131908286728104,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3910278499396562,1.0,1.0,1.0,1.0,1.0,3.082005759597489,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
0.5,6.0,15.0,0.3514656450165321,1.0,1.0,1.0,1.0,1.0,8.35741023161767,1.0,0.001,1.0,-3.0,0.1,0.05,200.0,0.1,175.0,0.000775,2.0,4.840379695349101,0.0311,1.914248914588618e-08,0.01,0.39240506329113906,22.247293945317267
